ASN,prefix,size
8075,150.171.254.0,24
8075,151.206.0.0,16
8075,155.62.0.0,16
8075,156.20.22.0,23
8075,157.31.0.0,16
8075,157.55.0.0,16
8075,157.56.0.0,16
8075,157.95.0.0,16
8075,158.23.0.0,16
8075,158.158.0.0,16
8075,159.128.0.0,16
8075,161.69.104.0,24
8075,161.131.217.0,24
8075,161.195.96.0,22
8075,161.195.100.0,22
8075,161.195.155.0,24
8075,161.221.0.0,24
8075,161.221.1.0,24
8075,161.221.2.0,24
8075,161.221.3.0,24
8075,161.221.4.0,24
8075,162.254.245.0,24
8075,162.254.247.0,24
8075,167.21.32.0,21
8075,167.21.152.0,21
8075,167.92.211.0,24
8075,167.92.212.0,24
8075,167.105.0.0,16
8075,167.162.0.0,16
8075,167.186.0.0,16
8075,168.61.0.0,16
8075,168.62.0.0,15
8075,169.138.0.0,16
8075,170.22.154.0,23
8075,170.22.156.0,23
8075,170.62.37.0,24
8075,170.88.82.0,24
8075,170.88.83.0,24
8075,170.88.84.0,24
8075,170.88.85.0,24
8075,170.114.39.0,24
8075,170.114.47.0,24
8075,170.114.56.0,24
8075,170.114.57.0,24
8075,170.165.0.0,16
8075,170.176.205.0,24
8075,172.128.0.0,11
8075,172.160.0.0,11
8075,172.200.0.0,13
8075,172.208.0.0,13
8075,173.241.37.0,24
8075,176.116.123.0,24
8075,178.255.242.0,24
8075,185.52.203.0,24
8075,185.76.37.0,24
8075,185.113.189.0,24
8075,185.116.168.0,24
8075,185.116.169.0,24
8075,185.117.183.0,24
8075,185.117.230.0,24
8075,185.135.57.0,24
8075,185.149.54.0,24
8075,185.154.80.0,24
8075,185.154.81.0,24
8075,185.154.82.0,24
8075,185.154.83.0,24
8075,185.187.104.0,24
8075,185.187.105.0,24
8075,185.195.244.0,24
8075,185.195.245.0,24
8075,185.209.208.0,24
8075,185.209.209.0,24
8075,185.211.208.0,24
8075,185.222.140.0,22
8075,185.236.221.0,24
8075,185.242.137.0,24
8075,185.242.139.0,24
8075,188.94.190.0,24
8075,191.232.0.0,13
8075,192.12.20.0,24
8075,192.28.24.0,24
8075,192.28.25.0,24
8075,192.40.78.0,24
8075,192.40.79.0,24
8075,192.48.225.0,24
8075,192.84.160.0,24
8075,192.84.161.0,24
8075,192.100.104.0,21
8075,192.100.112.0,21
8075,192.100.120.0,21
8075,192.100.128.0,22
8075,192.102.165.0,24
8075,192.197.157.0,24
8075,192.243.86.0,24
8075,192.243.87.0,24
8075,193.134.96.0,24
8075,193.149.64.0,19
8075,193.221.113.0,24
8075,194.41.22.0,24
8075,194.44.235.0,24
8075,194.50.21.0,24
8075,194.180.131.0,24
8075,195.8.43.0,24
8075,195.85.113.0,24
8075,195.105.26.0,24
8075,195.114.140.0,24
8075,198.8.73.0,24
8075,198.22.19.0,24
8075,198.22.205.0,24
8075,198.47.13.0,24
8075,198.49.8.0,24
8075,198.51.0.0,24
8075,198.52.0.0,24
8075,198.91.39.0,24
8075,198.180.95.0,24
8075,198.180.97.0,24
8075,198.185.5.0,24
8075,198.200.130.0,24
8075,198.206.164.0,24
8075,198.245.174.0,24
8075,199.0.184.0,24
8075,199.0.185.0,24
8075,199.21.128.0,24
8075,199.30.16.0,20
8075,199.38.175.0,24
8075,199.60.28.0,24
8075,199.65.27.0,24
8075,199.65.29.0,24
8075,199.65.30.0,24
8075,199.65.31.0,24
8075,199.65.40.0,24
8075,199.65.243.0,24
8075,199.65.247.0,24
8075,199.65.251.0,24
8075,199.103.90.0,23
