asn,ipv4,ipv6,ix_id,country,prefixes,pdb_id
47872,['185.1.48.25'],['2001:7f8:3f:0:0:bb00:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
49666,['185.1.48.13'],"['2001:7f8:3f::c202:0:1', '2001:7f8:3f:0:0:c202:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
3303,['185.1.48.38'],"['2001:7f8:3f:0:0:ce7:0:1', '2001:7f8:3f::ce7:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
59895,[],['2001:7f8:3f:0:0:e9f7:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
61135,"['185.1.48.66', '185.1.48.44', '185.1.48.55']","['2001:7f8:3f::eecf:0:1', '2001:7f8:3f::eecf:0:2', '2001:7f8:3f:0:0:eecf:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
61438,['185.1.48.10'],"['2001:7f8:3f::effe:0:1', '2001:7f8:3f:0:0:effe:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
63293,['185.1.48.36'],"['2001:7f8:3f::f73d:0:1', '2001:7f8:3f:0:0:f73d:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
138915,['185.1.48.18'],"['2001:7f8:3f:0:2:1ea3:0:2', '2001:7f8:3f:0:2:1ea3:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
136907,"['185.1.48.17', '185.1.48.21']","['2001:7f8:3f:0:2:16cb:0:2', '2001:7f8:3f:0:2:16cb:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
199524,"['185.1.48.32', '185.1.48.30']","['2001:7f8:3f:0:3:b64:0:1', '2001:7f8:3f:0:3:b64:0:2']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
212795,['185.1.48.1'],['2001:7f8:3f:0:3:3f3b:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
51559,['185.1.48.2'],['2001:7f8:3f::c967:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
21245,"['185.1.48.4', '185.1.48.39']","['2001:7f8:3f::52fd:0:2', '2001:7f8:3f::52fd:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
42,['185.1.48.5'],['2001:7f8:3f::2a:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
43391,['185.1.48.6'],['2001:7f8:3f::a97f:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
25091,['185.1.48.7'],['2001:7f8:3f::6203:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
21859,['185.1.48.14'],['2001:7f8:3f::5563:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
34296,['185.1.48.23'],['2001:7f8:3f::85f8:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
6507,['185.1.48.29'],['2001:7f8:3f::196b:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
63199,['185.1.48.31'],['2001:7f8:3f::f6df:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
205530,['185.1.48.34'],['2001:7f8:3f:0:3:22da:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
139341,['185.1.48.37'],['2001:7f8:3f:0:2:46b:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
51095,['185.1.48.40'],['2001:7f8:3f::1c1b:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
