addr,router,asn,org,conn_asn,conn_org,rtype,itype
87.245.244.0,87.245.244.0,9002,ORG-RL19-RIPE,47890,ORG-UMNG1-RIPE,50,0
184.105.65.110,184.105.65.110,6939,HURC-ARIN,6939,HURC-ARIN,50,0
93.115.93.181,93.115.93.181,3223,ORG-VL241-RIPE,3223,ORG-VL241-RIPE,70,0
136.255.248.204,136.255.248.204,12302,ORG-MS15-RIPE,12302,ORG-MS15-RIPE,70,2
93.114.191.66,93.114.191.66,12302,ORG-MS15-RIPE,8919,ORG-ATS4-RIPE,5000200,0
103.246.249.22,103.246.249.22,6204,ORG-IHS20-RIPE,42405,ORG-SPS13-RIPE,70,0
213.19.208.209,213.19.208.209,3356,LPL-141-ARIN,3356,LPL-141-ARIN,50,-1
44.128.12.254,44.128.12.254,7377,UCSD-1-Z-ARIN,7377,UCSD-1-Z-ARIN,70,-1
138.187.130.39,138.187.130.39,3303,ORG-SI1-RIPE,3303,ORG-SI1-RIPE,6,0
83.97.89.241,83.97.89.241,21320,ORG-DLCU1-RIPE,2614,ORG-RA17-RIPE,70,0
62.121.99.1,62.121.99.1,12302,ORG-MS15-RIPE,12302,ORG-MS15-RIPE,50,-1
184.104.203.58,184.104.203.58,3303,ORG-SI1-RIPE,6939,HURC-ARIN,11,0
195.2.21.38,195.2.21.38,3303,ORG-SI1-RIPE,1273,@aut-1273-RIPE,5000000,0
83.166.222.126,83.166.222.126,12310,ORG-IGS3-RIPE,12310,ORG-IGS3-RIPE,50,0
4.69.162.177,4.69.162.177,3356,LPL-141-ARIN,3356,LPL-141-ARIN,50,0
93.114.191.12,93.114.191.12,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
194.5.208.1,194.5.208.1,34915,ORG-MSS30-RIPE,34915,ORG-MSS30-RIPE,70,-1
185.179.156.1,185.179.156.1,51295,ORG-TEMS3-RIPE,51295,ORG-TEMS3-RIPE,70,-1
78.97.196.1,78.97.196.1,12302,ORG-MS15-RIPE,12302,ORG-MS15-RIPE,50,-1
184.104.207.17,184.104.207.17,6939,HURC-ARIN,12310,ORG-IGS3-RIPE,50,1
78.96.208.1,78.96.208.1,12302,ORG-MS15-RIPE,12302,ORG-MS15-RIPE,50,-1
89.42.203.129,89.42.203.129,42405,ORG-SPS13-RIPE,42405,ORG-SPS13-RIPE,70,-1
212.81.56.1,212.81.56.1,57050,ORG-SDS36-RIPE,57050,ORG-SDS36-RIPE,70,-1
89.149.34.125,89.149.34.125,12310,ORG-IGS3-RIPE,12310,ORG-IGS3-RIPE,70,-1
89.37.126.137,89.37.126.137,39737,ORG-NVTS1-RIPE,48351,ORG-ES392-RIPE,50,0
92.80.245.109,92.80.245.109,9050,ORG-AA45-RIPE,39081,ORG-RISS4-RIPE,70,0
31.210.8.144,31.210.8.144,-1,-1,6663,ORG-ERS6-RIPE,6000000,0
85.186.202.9,85.186.202.9,12302,ORG-MS15-RIPE,48112,ORG-XNS8-RIPE,50,0
4.69.167.114,4.69.167.114,3356,LPL-141-ARIN,3356,LPL-141-ARIN,50,1
193.46.254.1,193.46.254.1,47890,ORG-UMNG1-RIPE,35478,ORG-BTS48-RIPE,70,0
62.140.27.189,62.140.27.189,3356,LPL-141-ARIN,31554,ORG-SRSS1-RIPE,50,1
85.120.220.254,85.120.220.254,48141,ORG-CO6-RIPE,48141,ORG-CO6-RIPE,50,-1
37.128.239.145,37.128.239.145,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,1
89.149.57.201,89.149.57.201,12310,ORG-IGS3-RIPE,12310,ORG-IGS3-RIPE,50,-1
184.105.65.45,184.105.65.45,6939,HURC-ARIN,6939,HURC-ARIN,50,0
89.44.208.118,89.44.208.118,12302,ORG-MS15-RIPE,8919,ORG-ATS4-RIPE,5000200,-1
81.22.150.2,81.22.150.2,48161,ORG-NCS10-RIPE,48161,ORG-NCS10-RIPE,70,0
89.40.196.53,89.40.196.53,41953,ORG-TS372-RIPE,41953,ORG-TS372-RIPE,50,-1
62.67.18.61,62.67.18.61,3356,LPL-141-ARIN,3356,LPL-141-ARIN,50,-1
5.254.69.42,5.254.69.42,8100,QEL-5-ARIN,3223,ORG-VL241-RIPE,170,0
4.68.68.54,4.68.68.54,3303,ORG-SI1-RIPE,3356,LPL-141-ARIN,11,0
5.254.69.97,5.254.69.97,3223,ORG-VL241-RIPE,41494,ORG-AI97-RIPE,50,1
138.187.129.82,138.187.129.82,3303,ORG-SI1-RIPE,3303,ORG-SI1-RIPE,6,0
95.77.64.129,95.77.64.129,12302,ORG-MS15-RIPE,12302,ORG-MS15-RIPE,50,0
86.127.160.165,86.127.160.165,8708,ORG-RA18-RIPE,34915,ORG-MSS30-RIPE,70,0
85.122.180.10,85.122.180.10,48141,ORG-CO6-RIPE,48141,ORG-CO6-RIPE,70,0
185.86.67.65,185.86.67.65,41494,ORG-AI97-RIPE,41494,ORG-AI97-RIPE,70,-1
37.128.235.25,37.128.235.25,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
89.33.97.217,89.33.97.217,35584,ORG-BIGS2-RIPE,35584,ORG-BIGS2-RIPE,70,-1
185.173.16.65,185.173.16.65,48112,ORG-XNS8-RIPE,48112,ORG-XNS8-RIPE,50,-1
138.187.130.23,138.187.130.23,3303,ORG-SI1-RIPE,3303,ORG-SI1-RIPE,6,1
184.105.65.33,184.105.65.33,6939,HURC-ARIN,6939,HURC-ARIN,50,1
93.114.190.238,93.114.190.238,12302,ORG-MS15-RIPE,8919,ORG-ATS4-RIPE,5000200,0
138.187.129.19,138.187.129.19,3303,ORG-SI1-RIPE,3303,ORG-SI1-RIPE,50,0
217.5.85.170,217.5.85.170,3320,ORG-DTA2-RIPE,-1,-1,50,0
195.2.21.214,195.2.21.214,1273,@aut-1273-RIPE,1273,@aut-1273-RIPE,50,0
87.245.232.139,87.245.232.139,3356,LPL-141-ARIN,9002,ORG-RL19-RIPE,50,0
138.187.129.140,138.187.129.140,3303,ORG-SI1-RIPE,3303,ORG-SI1-RIPE,50,0
37.128.239.101,37.128.239.101,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
